user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
anastasia_k_p,6556656654271709185,6884296547756952838,Reply to @huntieandhuncles I’m a professional swimmer not lifter so plz don’t judge hehe I’ll put the weights and reps in the comments,1602875243,29,https://www.tiktok.com/@anastasia_k_p/video/6884296547756952838?lang=en,50900,594,468,411300
thekenyacrooks,6755394110817780741,6885306954131066118,"Either get me 20, 40, or 50 reps! Also try my 7 day Challenge at kenyacrooksnetwork.com",1603110618,30,https://www.tiktok.com/@thekenyacrooks/video/6885306954131066118?lang=en,1500000,171600,6182,7300000
ewelina.2018,290796694516944896,6880498005699611910,"Repost of my 🍑 workout, bc it’s time to do it again🔥 #FallAesthetic #fyp #workout #StrapBack #glutes #upanddown #maximum #letsdothis",1601990898,13,https://www.tiktok.com/@ewelina.2018/video/6880498005699611910?lang=en,260,3,0,2935
jordynkoehler,6575506834483183621,6902023274537012486,and that’s on stem #lgbtq #catfish,1607002645,30,https://www.tiktok.com/@jordynkoehler/video/6902023274537012486?lang=en,63100,49,144,385000
ivyelizabethee,6860143402283402245,6902962551886335237,a nuetral moment🤍 she’s so crispppp #upcycle #corset #fashion #foryou #fyp,1607221247,7,https://www.tiktok.com/@ivyelizabethee/video/6902962551886335237?lang=en,344600,2821,1725,2200000
2cooljess,6618005604701782022,6902897808018246918,Reply to @mileycyrus here u go please dont bully us this took too long to make #fyp #HolidayMusic,1607206173,17,https://www.tiktok.com/@2cooljess/video/6902897808018246918?lang=en,3600000,69100,55600,17700000
notyourquirkyblackfriend,6717426672817914885,6902594905932123397,#stitch with @carveyourownpath Talk about a lightbulb moment! #therapy #triggerwarning #abuseawareness #college #fyp,1607135644,59,https://www.tiktok.com/@notyourquirkyblackfriend/video/6902594905932123397?lang=en,183900,1904,1119,853400
tinyricee,6861064370496242693,6902163654439963905,"I love finding random kitchen tools that are so extra, but also, I NEED 😂 #japanesedollarstore  #oomomo #sausages #fyp",1607035210,24,https://www.tiktok.com/@tinyricee/video/6902163654439963905?lang=en,157300,1696,793,822000
i_love_dads,6735886694514787333,6902466253277973765,I have so much more to say on this but yea if you’ve struggled bc of this just know that u arent dumb or a failure🥺 it’s a system working against u😞,1607105707,59,https://www.tiktok.com/@i_love_dads/video/6902466253277973765?lang=en,111400,3797,2129,518900
glossygurl,6744868736824034309,6901131012881927429,I’ll talk about dis gloss until the day o die @elfyeah #foryoupage #xyzbca #makeupdupes,1606794815,18,https://www.tiktok.com/@glossygurl/video/6901131012881927429?lang=en,17900,125,44,115000
ben_ten_oclock,6789760750250001414,6902244016318876933,I would be worried about her finding this but she probably already has shes much smarter than I am lol,1607053952,55,https://www.tiktok.com/@ben_ten_oclock/video/6902244016318876933?lang=en,247400,1878,725,1100000
andiebeca,6254227,6902258270379986181,when he lets me hit it on the first night,1607057281,12,https://www.tiktok.com/@andiebeca/video/6902258270379986181?lang=en,712900,5301,6672,3900000
sarah__kelly__,6771654642054022149,6902220610282245381,#stitch with @kristajaycams quote from my ex: “you’re literally a pornstar” #EasyDIY #ex #ungrateful #college,1607048497,57,https://www.tiktok.com/@sarah__kelly__/video/6902220610282245381?lang=en,267,10,22,4175
iblowurmindd,6585311498716102661,6902122702996360454,In a dress but wearing the pants @jhuxhold,1607025712,9,https://www.tiktok.com/@iblowurmindd/video/6902122702996360454?lang=en,2800000,33600,28300,12200000
alliejosiedavies,6654222118145261573,6877217116940979458,I am so so grateful for everyone’s support so far. Like wow 😭🧡 #smallbizowner #packagingorders #packagingorders #etsy #etsyshop #shopsmall,1601226890,13,https://www.tiktok.com/@alliejosiedavies/video/6877217116940979458?lang=en,28100,729,107,224800
amazingishgrace,6816359553347060741,6848764610489634053,Reply to @malialani why y'all got no faith in my #zerowaste grind 😤 anyways this minibag has my whole HEART #diy #sewing #thriftflip #handsewing,1594602276,42,https://www.tiktok.com/@amazingishgrace/video/6848764610489634053?lang=en,317800,1174,453,1300000
paige.sechrist,6636900962269331462,6846533168170880262,made some patchwork sweats from old hoodies I didn’t wear anymore #fyp #diy #style #sewing #clothes #upcycle #reworked #LegendaryChallenge,1594082727,13,https://www.tiktok.com/@paige.sechrist/video/6846533168170880262?lang=en,142400,3153,852,592800
emmanichols_hair,6732546196278166534,6841736831902567686,Bandana styled 3 ways ❤️ duet me with yours!!!,1592965994,42,https://www.tiktok.com/@emmanichols_hair/video/6841736831902567686?lang=en,132500,6479,163,1000000
